domain,count
"(empty)",5438
"*\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00",20362
"+s4yj3z+ahnzaa.=connect.rssfeeds.com",4
"+s6fgaabadrbmdcwnzbbqzcxrdzgouy4nenbnje4mdgxmtgwmdqxnku0m0fdq0e.=auth.rssfeeds.com",4
"-l",20
"-p",16
"../nessus",56
"0-jf-w.channel.facebook.com",2418
"0.0.0.0.in-addr.arpa",24
"0.2.2.0.f.d.2.b.b.7.4.4.7.3.8.8.2.0.2.0.8.1.c.0.b.b.d.0.1.0.0.2.ip6.arpa",4
"0.21.168.192.in-addr.arpa",10
"0.22.168.192.in-addr.arpa",4
"0.229.168.192.in-addr.arpa",66
"0.23.168.192.in-addr.arpa",6
"0.24.168.192.in-addr.arpa",6
"0.25.168.192.in-addr.arpa",4
"0.26.168.192.in-addr.arpa",8
"0.27.168.192.in-addr.arpa",4
"0.28.168.192.in-addr.arpa",12
"0.3.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.7.2.c.0.3.0.5.0.1.0.0.2.ip6.arpa",8
"0.3.0.0.2.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.e.3.a.b.3.0.5.0.1.0.0.2.ip6.arpa",4
"0.4.4.5.f.e.e.f.f.f.2.4.b.f.2.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa",4
"0.4.4.5.f.e.e.f.f.f.2.4.b.f.2.6.2.0.2.0.8.1.c.0.b.b.d.0.1.0.0.2.ip6.arpa",8
"0.9.f.3.2.1.e.f.f.f.2.1.d.8.a.b.5.5.3.0.8.1.c.0.b.b.d.0.1.0.0.2.ip6.arpa",4
"0.b.b.7.a.6.a.8.8.d.a.a.b.9.c.4.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa",4
"0.b.b.7.a.6.f.f.1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.2.0.f.f.ip6.arpa",2
"0.pool.ntp.org",80
"0.ubuntu.pool.ntp.org",1462
"0.ubuntu.pool.ntp.org.jhuapl.edu",8
"0.ubuntu.pool.ntp.org.localdomain",366
0050430195e1,32
"0bps664l3vqk05dj8qih0t5renri9iic-a-ig-opensocial.googleusercontent.com",2
0zqsnofz,2
"1-courier.push.apple.com",260
"1.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.0.ip6.arpa",74
"1.0.0.127.dnsbugtest.1.0.0.127.in-addr.arpa",148
"1.0.0.127.in-addr.arpa",790
"1.1.16.172.in-addr.arpa",4
"1.1.168.192.in-addr.arpa",516
"1.10.16.172.in-addr.arpa",22
"1.108.168.192.in-addr.arpa",168
"1.127.168.192.in-addr.arpa",2
